web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1579704405-492","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Guabira - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/guabira-oriente-petrolero-2DbtdpMH/","bet-at-home","2.17","3.49","2.61","88.5%","Final result 1:3 (1:1, 0:2)","25 Dec  2019","20:00"
"1579704285-262","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Oriente Petrolero - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/oriente-petrolero-nacional-potosi-025E82lQ/","Unibet","1.94","3.50","3.20","-","Final result 2:2 (2:0, 0:2)","15 Dec  2019","23:30"
"1579704446-582","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Blooming - Aurora","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/blooming-aurora-GGOFAqyB/","William Hill","1.33","5.25","6.50","91.2%","Final result 0:1 (0:1, 0:0)","28 Dec  2019","20:00"
"1579704235-150","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Guabira - Sport Boys","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/guabira-sport-boys-bJ0jo8j2/","bwin","2.20","3.40","2.80","90.4%","Final result 0:0 (0:0, 0:0)","13 Dec  2019","00:00"
"1579704326-357","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Always Ready - Aurora","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/always-ready-aurora-fs8L087n/","null","null","null","null","null","Final result 0:2 (0:0, 0:2)","21 Dec  2019","19:00"
"1579704248-180","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Aurora - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/aurora-wilstermann-8lrs8VcF/","null","null","null","null","null","Final result 0:2 (0:0, 0:2)","13 Dec  2019","00:30"
"1579704436-555","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Destroyers - The Strongest","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/destroyers-the-strongest-buEK93jH/","Coolbet","6.25","5.25","1.33","90.7%","Final result 2:3 (0:1, 2:2)","28 Dec  2019","20:00"
"1579704378-442","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Sport Boys - Bolivar","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/sport-boys-bolivar-buhkfOjU/","1xBet","5.45","5.10","1.48","94.8%","Final result 1:3 (0:1, 1:2)","25 Dec  2019","20:00"
"1579704254-186","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Always Ready - Blooming","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/always-ready-blooming-CtPJnLR6/","bwin","1.25","5.50","7.75","90.0%","Final result 3:0 (0:0, 3:0)","14 Dec  2019","19:00"
"1579704318-344","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","The Strongest - Bolivar","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/the-strongest-bolivar-fJgc0vd6/","Pinnacle","2.12","3.65","3.07","93.3%","Final result 3:2 (1:1, 2:1)","20 Dec  2019","00:30"
"1579704391-470","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Royal Pari - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/royal-pari-wilstermann-Klgoe4yO/","Bethard","5.40","4.75","1.43","91.3%","Final result 0:2 (0:0, 0:2)","25 Dec  2019","20:00"
"1579704446-577","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Blooming - Aurora","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/blooming-aurora-GGOFAqyB/","Bethard","1.33","5.15","6.65","91.2%","Final result 0:1 (0:1, 0:0)","28 Dec  2019","20:00"
"1579704360-408","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Wilstermann - Sport Boys","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/wilstermann-sport-boys-Ua0Yc6i5/","bet-at-home","1.09","7.13","13.10","88.2%","Final result 3:2 (1:0, 2:2)","22 Dec  2019","21:15"
"1579704339-381","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Real Potosi - The Strongest","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/real-potosi-the-strongest-YX6PaSMh/","null","null","null","null","null","Final result 1:3 (0:1, 1:2)","22 Dec  2019","19:00"
"1579704223-126","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","San Jose - Bolivar","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/san-jose-bolivar-pE5Aj3Ss/","bwin","1.95","3.40","3.30","90.1%","Final result 2:2 (1:1, 1:1)","12 Dec  2019","00:30"
"1579704248-177","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Aurora - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/aurora-wilstermann-8lrs8VcF/","Pinnacle","6.16","4.44","1.48","94.1%","Final result 0:2 (0:0, 0:2)","13 Dec  2019","00:30"
"1579704248-169","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Aurora - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/aurora-wilstermann-8lrs8VcF/","1xBet","6.35","4.80","1.45","94.7%","Final result 0:2 (0:0, 0:2)","13 Dec  2019","00:30"
"1579704452-590","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Always Ready - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/always-ready-nacional-potosi-CrIO8N5N/","Coolbet","3.20","3.00","2.20","90.9%","Final result 3:2 (1:1, 2:1)","28 Dec  2019","20:00"
"1579704285-263","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Oriente Petrolero - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/oriente-petrolero-nacional-potosi-025E82lQ/","William Hill","1.95","3.50","3.40","91.5%","Final result 2:2 (2:0, 0:2)","15 Dec  2019","23:30"
"1579704308-314","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Nacional Potosi - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/nacional-potosi-wilstermann-xrah1Kt0/","Asianodds","2.84","3.34","2.46","94.5%","Final result 1:3 (0:1, 1:2)","19 Dec  2019","22:15"
"1579704366-418","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Blooming - Guabira","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/blooming-guabira-p8Mk6UqP/","1xBet","1.43","5.00","6.45","94.8%","Final result 1:1 (0:1, 1:0)","22 Dec  2019","23:30"
"1579704413-505","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Aurora - Destroyers","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/aurora-destroyers-UaM3Doih/","bet365","1.50","4.20","5.25","91.3%","Final result 1:0 (0:0, 1:0)","25 Dec  2019","20:00"
"1579704285-259","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Oriente Petrolero - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/oriente-petrolero-nacional-potosi-025E82lQ/","Coolbet","1.98","3.50","3.25","91.0%","Final result 2:2 (2:0, 0:2)","15 Dec  2019","23:30"
"1579704185-14","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Sport Boys - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/sport-boys-nacional-potosi-KS1nnlyd/","Asianodds","2.31","3.67","2.89","95.1%","Final result 0:0 (0:0, 0:0)","07 Dec  2019","19:00"
"1579704346-389","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Oriente Petrolero - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/oriente-petrolero-royal-pari-OMaxcQ6B/","MrGreen","2.17","3.45","2.75","-","Final result 1:3 (0:1, 1:2)","22 Dec  2019","19:00"
"1579704208-73","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Royal Pari - The Strongest","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/royal-pari-the-strongest-jgcrmULk/","1xBet","3.90","4.14","1.79","94.6%","Final result 0:2 (0:0, 0:2)","08 Dec  2019","23:30"
"1579704290-270","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Guabira - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/guabira-royal-pari-4U0p3tCm/","bwin","2.20","3.20","2.90","89.9%","Final result 1:1 (1:1, 0:0)","18 Dec  2019","19:00"
"1579704211-95","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Oriente Petrolero - Aurora","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/oriente-petrolero-aurora-C2bvlA6q/","William Hill","1.17","6.50","13.00","92.1%","Final result 2:1 (1:0, 1:1)","10 Dec  2019","00:30"
"1579704273-232","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Wilstermann - The Strongest","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/wilstermann-the-strongest-MB6A9rZJ/","bet365","2.70","3.60","2.25","91.5%","Final result 1:1 (1:1, 0:0)","15 Dec  2019","21:15"
"1579704228-141","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Nacional Potosi - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/nacional-potosi-royal-pari-0OvZ9iT2/","Pinnacle","1.31","5.32","8.71","93.8%","Final result 5:2 (4:0, 1:2)","12 Dec  2019","19:00"
"1579704285-261","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Oriente Petrolero - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/oriente-petrolero-nacional-potosi-025E82lQ/","Pinnacle","1.92","3.81","3.66","94.6%","Final result 2:2 (2:0, 0:2)","15 Dec  2019","23:30"
