web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1574837962-24690","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/results/#/page/4/","Ciclon - U. Sucre","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/ciclon-universitario-de-sucre-2kMaKMqT/","Pinnacle","1.92","3.90","3.83","96.3%","Final result 0:2 (0:2, 0:0)","25 Oct  2015","19:00"
"1574829543-16252","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/results/","Aurora - Bolivar","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/aurora-bolivar-vNUi36Ar/","Unibet","2.15","3.35","2.85","89.7%","Final result 3:2 (3:0, 0:2)","04 Nov  2010","00:30"
"1574834336-18942","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/results/#/page/2/","Aurora - La Paz","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/aurora-la-paz-OA7Siop0/","bet365","1.67","3.75","4.33","91.2%","Final result 2:1 (0:0, 2:1)","30 Mar  2013","20:00"
"1574835012-20524","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/results/#/page/3/","U. Sucre - Bolivar","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/universitario-de-sucre-bolivar-8CETivzj/","Pinnacle","2.89","3.59","2.41","96.2%","Final result 3:1 (1:0, 2:1)","26 Jan  2014","21:00"
"1574826329-14480","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/results/#/page/4/","La Paz - Blooming","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/la-paz-blooming-OSOEzN0t/","bwin","1.70","3.50","4.20","-","Final result 2:0","14 May  2009","00:00"
"1574826391-14546","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/results/#/page/3/","U. Sucre - Blooming","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/universitario-de-sucre-blooming-IqoyazTc/","Unibet","1.55","3.50","5.50","89.9%","Final result 4:0","27 May  2009","23:00"
"1574835455-21583","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/5/","Sport Boys - U. Pando","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/sport-boys-universitario-de-pando-na5do2tE/","Marathonbet","1.56","3.90","6.90","95.9%","Final result 1:3 (0:1, 1:2)","24 Aug  2014","19:00"
"1574836037-23292","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/2/","Bolivar - Petrolero de Yacuiba","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/bolivar-petrolero-de-yacuiba-nTOqM3cB/","1xBet","1.17","7.80","18.00","96.3%","Final result 4:1 (1:1, 3:0)","14 Mar  2015","20:00"
"1574838215-25487","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/results/#/page/3/","Sport Boys - Wilstermann","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/sport-boys-wilstermann-SEComFlA/","1xBet","2.03","3.45","3.60","94.3%","Final result 1:1 (1:1, 0:0)","04 Feb  2016","00:00"
"1574829685-16402","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011/results/#/page/3/","Nacional Potosi - San Jose","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011/nacional-potosi-san-jose-GlXEdAk0/","bet365","2.29","3.20","2.75","89.9%","Final result 3:0 (1:0, 2:0)","30 Jan  2011","19:30"
"1574829530-16241","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/results/","Real Potosi - San Jose","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/real-potosi-san-jose-pKaCAlI8/","null","null","null","null","null","Final result 1:3 (0:1, 1:2)","04 Nov  2010","00:00"
"1574834225-18732","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/results/#/page/3/","Bolivar - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/bolivar-oriente-petrolero-tGc7ivED/","Marathonbet","1.52","4.30","6.00","94.6%","Final result 2:1 (1:0, 1:1)","03 Feb  2013","20:00"
"1574836799-23901","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/","U. Sucre - The Strongest","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/universitario-de-sucre-the-strongest-t2tdOahR/","Marathonbet","3.98","3.45","2.00","96.1%","Final result 0:1 (0:0, 0:1)","10 May  2015","21:30"
"1574833957-18190","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/results/#/page/4/","Nacional Potosi - San Jose","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/nacional-potosi-san-jose-tlsGOQW7/","bwin","2.29","3.30","2.70","90.1%","Final result 0:2 (0:0, 0:2)","04 Nov  2012","19:30"
"1574833900-18071","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/results/#/page/5/","Oriente Petrolero - Aurora","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/oriente-petrolero-aurora-lElkXcJA/","bwin","1.62","3.50","4.75","89.8%","Final result 1:1 (0:1, 1:0)","28 Sep  2012","00:30"
"1574830388-16743","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011/results/","Real Potosi - The Strongest","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011/real-potosi-the-strongest-08BKqnOp/","bwin","1.68","3.45","4.40","89.9%","Final result 1:1 (0:1, 1:0)","08 May  2011","19:30"
"1574835458-21589","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/5/","Real Potosi - The Strongest","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/real-potosi-the-strongest-byYPTZAt/","bet365","2.50","3.25","2.60","91.5%","Final result 1:0 (1:0, 0:0)","24 Aug  2014","19:00"
"1574834275-18826","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/results/#/page/2/","Blooming - La Paz","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/blooming-la-paz-WpE3lLqH/","bet365","1.50","4.20","6.00","93.3%","Final result 4:1 (3:0, 1:1)","22 Feb  2013","00:30"
"1574835705-22373","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/4/","Bolivar - Sport Boys","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/bolivar-sport-boys-MZGEhuQc/","null","null","null","null","null","Final result 5:1 (2:0, 3:1)","13 Nov  2014","00:00"
